,Player,PTS_RBS_AST,College_Year_x,PTS_RBS_AST_College,College_Year_y
87,Mario Chalmers,15.43525741029641,Jr.,18.8,Jr.
88,Lance Stephenson,15.357303370786518,Fr.,20.200000000000003,Fr.
89,Nick Young,15.216332378223495,Jr.,22.0,Jr.
90,Cody Zeller,14.96774193548387,So.,24.700000000000003,So.
91,Robin Lopez,14.936305732484078,So.,15.4,So.
92,Otto Porter,14.921052631578949,So.,22.0,So.
93,Steven Adams,14.80064308681672,Fr.,14.1,Fr.
94,Randy Foye,14.787515006002401,Sr.,23.0,Sr.
95,Alec Burks,14.767441860465116,So.,27.2,So.
96,Greg Oden,14.733333333333333,Fr.,26.0,Fr.
97,P.J. Tucker,14.731462925851703,Jr.,23.6,Jr.
98,Aaron Brooks,14.659974905897114,Sr.,20.7,Sr.
99,Patrick Patterson,14.168026101141926,Jr.,25.8,Jr.
100,Al-Farouq Aminu,14.140384615384617,So.,25.200000000000003,So.
101,Jonny Flynn,14.119791666666668,So.,25.3,So.
102,Courtney Lee,14.031137724550899,Sr.,25.0,Sr.
103,Ed Davis,14.030249110320284,So.,17.599999999999998,So.
104,Will Barton,13.956989247311826,So.,24.599999999999998,So.
105,Danny Green,13.870212765957447,Sr.,15.3,Sr.
106,Jerryd Bayless,13.832317073170731,Fr.,26.4,Fr.
107,Jae Crowder,13.823655913978495,Sr.,24.0,Sr.
108,John Henson,13.822222222222223,Jr.,19.4,Jr.
109,Tyrus Thomas,13.765350877192983,Fr.,22.8,Fr.
110,Jordan Hill,13.692929292929293,Jr.,21.200000000000003,Jr.
111,Trevor Booker,13.68103448275862,Sr.,22.5,Sr.
112,Glen Davis,13.527491408934708,Jr.,27.799999999999997,Jr.
113,Terrence Ross,13.462365591397852,So.,18.2,So.
114,Corey Brewer,13.366242038216562,Jr.,18.400000000000002,Jr.
115,Shabazz Muhammad,13.280851063829786,Fr.,23.9,Fr.
116,Ben McLemore,13.133105802047782,Fr.,23.099999999999998,Fr.
117,Derrick Williams,13.099277978339352,So.,17.5,So.
118,Jared Dudley,12.970297029702971,Sr.,26.099999999999998,Sr.
119,Marreese Speights,12.903005464480875,So.,15.4,So.
120,Iman Shumpert,12.898148148148149,Jr.,21.4,Jr.
121,James Johnson,12.828125,So.,20.9,So.
122,Larry Sanders,12.768907563025211,Jr.,18.5,Jr.
123,Landry Fields,12.713725490196078,Sr.,17.4,Sr.
124,DeJuan Blair,12.658018867924529,So.,25.4,So.
125,Terrence Williams,12.593137254901961,Sr.,22.0,Sr.
126,Jordan Farmar,12.498015873015873,So.,21.5,So.
127,DeMarre Carroll,12.39111111111111,Sr.,18.799999999999997,Sr.
128,Jodie Meeks,12.365758754863812,Jr.,20.0,Jr.
129,Craig Smith,12.330024813895783,Sr.,28.6,Sr.
130,Tyler Zeller,12.314705882352941,Sr.,20.1,Sr.
131,Austin Rivers,12.250591016548464,Fr.,21.0,Fr.
132,Jeremy Lamb,12.173913043478262,So.,20.5,So.
133,Anthony Randolph,12.164383561643834,Fr.,25.3,Fr.
134,Isaiah Canaan,12.090517241379311,Sr.,21.2,Sr.
135,Maurice Harkless,12.030898876404494,Fr.,25.6,Fr.
136,Norris Cole,11.898850574712643,Sr.,20.599999999999998,Sr.
137,Wesley Johnson,11.87323943661972,Jr.,3.2,Jr.
138,Daniel Gibson,11.793450881612092,So.,20.900000000000002,So.
139,Allen Crabbe,11.672566371681416,Jr.,23.599999999999998,Jr.
140,Josh McRoberts,11.620481927710841,So.,19.700000000000003,So.
141,Ronnie Brewer,11.563664596273291,Jr.,24.0,Jr.
142,Cory Joseph,11.54945054945055,Fr.,17.0,Fr.
143,Toney Douglas,11.536821705426357,Sr.,23.200000000000003,Sr.
144,Kendall Marshall,11.4625,So.,17.5,So.
145,Chase Budinger,11.408033826638478,Jr.,25.6,Jr.
146,Shelvin Mack,11.382566585956415,Jr.,21.599999999999998,Jr.
147,Tyler Hansbrough,11.378504672897195,Sr.,29.9,Sr.
148,Solomon Hill,11.273092369477911,Sr.,18.1,Sr.
149,Kyle O'Quinn,11.21183800623053,Sr.,21.9,Sr.
150,Darrell Arthur,11.117768595041323,So.,17.4,So.
151,Brandan Wright,11.0078125,Fr.,21.9,Fr.
152,Derrick Byars,11.0,Sr.,16.9,Sr.
153,Mike Scott,10.9644128113879,Sr.,11.7,Sr.
154,Jon Leuer,10.887640449438202,Sr.,16.799999999999997,Sr.
155,Wayne Ellington,10.801011804384485,Jr.,21.0,Jr.
156,Brandon Rush,10.667359667359667,Jr.,21.1,Jr.
157,Jason Smith,10.646536412078152,Jr.,24.6,Jr.
158,Josh Boone,10.63671875,Jr.,17.1,Jr.
159,Kosta Koufos,10.619582664526483,Fr.,21.6,Fr.
160,Dante Cunningham,10.55030487804878,Sr.,16.5,Sr.
161,Lavoy Allen,10.507726269315674,Sr.,21.1,Sr.
162,MarShon Brooks,10.49748743718593,Sr.,20.2,Sr.
163,Meyers Leonard,10.45484949832776,So.,13.100000000000001,So.
164,Ryan Kelly,10.429447852760736,Sr.,4.1,Sr.
165,Chris Douglas-Roberts,10.346846846846848,Jr.,19.599999999999998,Jr.
166,Kyle Singler,10.254716981132075,Sr.,25.1,Sr.
167,James Ennis,10.188235294117646,Sr.,21.0,Sr.
168,Leon Powe,10.04089219330855,Jr.,28.700000000000003,Jr.
169,E'Twaun Moore,10.010526315789473,Sr.,22.6,Sr.
170,Jordan Hamilton,9.933649289099526,So.,6.199999999999999,So.
171,Justin Hamilton,9.895061728395062,Jr.,12.200000000000001,Jr.
172,Adam Morrison,9.830985915492958,Jr.,26.799999999999997,Jr.
173,Tony Snell,9.686006825938566,Jr.,13.6,Jr.
174,Archie Goodwin,9.661111111111111,Fr.,21.4,Fr.
